,PropertyName,Address,Price,No_Bedrooms,No_Bathrooms,Floorsize,Property_Type,Tenure,PSF,link,Latitude,Longitude,District,State
0,Kondominium Greenpark,"Jalan Awan Pintal, Taman Yarl, Old Klang Road (Jalan Klang Lama), Kuala Lumpur",360000,3,2,1242,Condominium,Freehold,289.86,https://www.propertyguru.com.my/propertylisting/kondominiumgreenparkforsalebyrickytai36717041,3.0982804,101.6762084,Old Klang Road (Jalan Klang Lama), Kuala Lumpur
1,Parkhill Residence Bukit Jalil,"Jalan Teknologi 1, Technology Park Malaysia, Bukit Jalil, Kuala Lumpur",580000,3,2,1100,Condominium,Leasehold,527.27,https://www.propertyguru.com.my/propertylisting/parkhillresidencebukitjalilforsalebykeanphang36716396,3.0533462,101.6802937,Bukit Jalil, Kuala Lumpur
2,Damelia Suites RM230K【1st Home get 100% Loan】 KLIA Sepang @ Horizon Suites,"Puchong, Kuala Lumpur",200000,2,2,500,Condominium,Freehold,400,https://www.propertyguru.com.my/propertylisting/dameliasuitesrm230k1sthomeget100loankliasepanghorizonsuitesforsalebyjamie36446727,3.0640269,101.6498472,Puchong, Kuala Lumpur
3,PSV 1 Residences @ Platinum South Valley,"Bandar Tasik Selatan, Kuala Lumpur",513000,3,2,946,New Project,Unknown,542.28,https://www.propertyguru.com.my/propertylisting/psv1residencesplatinumsouthvalleyforsalebymohamadhafizabdulbasher36426957,3.07609695,101.7114468,Bandar Tasik Selatan, Kuala Lumpur
4,5 Min to Mid Valley | Fully Furnished | RM3. 5k Salary to Own | Walking Distance to MRT/LRT/KTM,"Taman UThant, Ampang Hilir, Kuala Lumpur",419999,3,2,1200,Condominium,Freehold,350,https://www.propertyguru.com.my/propertylisting/5mintomidvalleyfullyfurnishedrm35ksalarytoownwalkingdistancetomrtlrtktmforsalebyshawnlim35584647,3.1585208,101.7401858,Ampang Hilir, Kuala Lumpur
5,2 Bed 2 Bath Beside XIA MEN UNIVERSITY【RM200K! ! RM200K! ! RM200K! !】Freehold,"Jalan Stesen Sentral, KL Sentral, Kuala Lumpur",200000,2,2,500,Condominium,Freehold,400,https://www.propertyguru.com.my/propertylisting/2bed2bathbesidexiamenuniversityrm200krm200krm200kfreeholdforsalebyjenny35775757,3.13430685,101.6863691,KL Sentral, Kuala Lumpur
6,Danau Permai Condominiums,"Jalan 3/109F, Taman Danau Desa, Taman Danau Desa, Taman Desa, Kuala Lumpur",585000,3,2,1248,Condominium,Leasehold,468.75,https://www.propertyguru.com.my/propertylisting/danaupermaicondominiumsforsalebyraymondong36099340,3.1030637,101.6850208,Taman Desa, Kuala Lumpur
7,"Cheapest In KL【Air Bnb】5 min to Train Station, Ready Tenants, 100% Loan KL","Ampang, Ampang Hilir, Kuala Lumpur",199000,2,1,500,Condominium,Freehold,398,https://www.propertyguru.com.my/propertylisting/cheapestinklairbnb5mintotrainstationreadytenants100loanklforsalebyceleste36454120,3.1585208,101.7401858,Ampang Hilir, Kuala Lumpur
8,"New Freehold Invest GET 80k Subsidy, 1st Home Buyer 100% Loan GET RM10, 000 Cahback @KL","Bandar Menjalara, Kuala Lumpur",230000,2,1,500,Condominium,Freehold,460,https://www.propertyguru.com.my/propertylisting/newfreeholdinvestget80ksubsidy1sthomebuyer100loangetrm10000cahbackklforsalebyceleste36446766,3.1941339,101.6272283,Bandar Menjalara, Kuala Lumpur
9,Wangsa Maju Freenhold Next to LRT 10 mins to KLCC Low Density,"Wangsa Maju, Kuala Lumpur",370000,3,2,872,Condominium,Freehold,424.31,https://www.propertyguru.com.my/propertylisting/wangsamajufreenholdnexttolrt10minstoklcclowdensityforsalebygordontong36715933,3.20568905,101.7319923,Wangsa Maju, Kuala Lumpur
10,TRX Residence,"Jalan Tun Razak, KLCC, KL City, Kuala Lumpur",3206000,3,2,1345,New Project,Unknown,2383.64,https://www.propertyguru.com.my/propertylisting/trxresidenceforsalebycarmenchan36711224,47.3776542,8.538495,KL City, Kuala Lumpur
11,【Expat Friendly】Spacious 4R3B + Next to MRT,"Dutamas, Mont Kiara, Kuala Lumpur",1098000,4,3,1449,Condominium,Freehold,757.76,https://www.propertyguru.com.my/propertylisting/expatfriendlyspacious4r3bnexttomrtforsalebyvancelee36705650,3.1699988,101.6521467,Mont Kiara, Kuala Lumpur
12,Seni Mont Kiara,"Changkat Duta Kiara, Mont Kiara, Kuala Lumpur",2700000,4,6,2905,Condominium,Freehold,929.43,https://www.propertyguru.com.my/propertylisting/senimontkiaraforsalebynixchin36715279,3.1699988,101.6521467,Mont Kiara, Kuala Lumpur
13,New Year Package! ! FREEHOLD 5 star condo 1900 Installment+ Fully Furnish & Lucky Draw,"Kampung Kerinchi (Bangsar South), Bangsar, Kuala Lumpur",468888,3,2,1120,Condominium,Freehold,418.65,https://www.propertyguru.com.my/propertylisting/newyearpackagefreehold5starcondo1900installmentfullyfurnishluckydrawforsalebyadelineong36593188,3.13083,101.66944,Bangsar, Kuala Lumpur
14,"Bangsar NEW { High Demand & Capital Gain } Condo, 100% Full Loan + Developer Wipe ALL Fees","Lucky Garden, Bangsar, Kuala Lumpur",472222,3,2,1152,Condominium,Freehold,409.91,https://www.propertyguru.com.my/propertylisting/bangsarnewhighdemandcapitalgaincondo100fullloandeveloperwipeallfeesforsalebyadelineong36576988,3.13083,101.66944,Bangsar, Kuala Lumpur
